id,name,sex,cooperation,type
pr,Pamela Reif,1,fitness,1
puma,Puma,,sport,2
jc,Joel Corry,2,music,1
jad,Jason Derulo,2,music,1
dr,Dennis Reif,2,bro,1
cln,Christopher Lund Nissen,2,music,1
dap,David Puentez,2,music,1
douglas,Douglas,,beauty,2
nakd,NA-KD,,fashion,2
calzedonia,Calzedonia,,fashion,2
naturallyp,Naturally Pam,,food,2
ghd,Ghd Hair,,beauty,2
nyx,NYX Cosmetics,,beauty,2
hej,HEJ natural,,food,2
mercedesbenz,Mercedes Benz,,car,2
alno,ALNO kitchens,,house,2
rainforest,The rainforest Company,,food,2
intimissimi,Intimissimi,,fashion,2
tech,Technogym,,sport,2
sante,SANTE Naturkosmetik,,beauty,2
foodist,Foodist,,food,2
pamgoesnuts,Pamgoesnuts,,food,2
zalando,Zalando,,fashion,2
liu,Liu Jo,,fashion,2
juvia,JUVIA,,fashion,2
koziel,KOZIEL,,house,2
shape,SHAPE Magazin,,fun,2
schaumermal,Schaumermal,,fun,2
forbes,Forbes,,fun,2
maldives,You & Me Maldives,,travel,2
wmg,Warner Music Germany,,sound,2
epidemicsound,Epidemic Sound,,sound,2
as,Alicia Schmidt,1,fitness,1
js,Just Spices,,food,2
f,Foodspring,,food,2
bvb,BVB09,,sport,2
moa,Manuel Obafemi Akanji,2,fitness,1
mh,Mats Hummels,2,fitness,1
eins,EinsUndEins,,communication,2
u,unique by ATLANTIC HOTELS,,travel,2
h,honor,,communication,2
dc,De Cecco,,food,2
hf,Hochschule Fresenius,,education,2
ehfk,EinHerzFuerKinder,,volunteer,2
b,BettCo,,house,2
ebhv,Elounda Beach Hotel & Villas,,travel,2
s,Sugardad,,food,2
em,Evelina Mamajeva,1,fitness,1
gymshark,Gymshark,,sport,2
gtrain,Gymsharktrain,,sport,2
gwomen,Gymsharkwomen,,sport,2
nu3,nu3,,food,2
ak,Alex Kula,2,"sportler, partner",1
hunde,Havanero Gini,,dog,3
waldorf,Waldorf Astoria Dubai ,,travel,2
dubai,Visit Dubai,,travel,2
jo,Jessica Olie,1,sportler,1
douglasc,Douglas Cosmetics,,beauty,2
secretslanzarote,Secrets Lanzarote Resort und Spa,,travel,2
newsha,Newsha Haircair,,beauty,2
holdstrong,Hold strong,,sport,2
placetob,Place to be,,fun,2
okuhotels,OKU Kos,,reisen,2
crossfitflensburg,Crossfit Flensburg,,sport,2
rexona,Rexona,,beauty,2
transformation,Transformation,,sport,2
fit,Fit,,sport,2
fitfemalesclub,Fit Females Club,,sport,2
plnts,PLNTS,,house,2
babyplnts,Baby PLNTS,,house,2
porschegoeppingen,Porsche Goeppingen,,car,2
porschenewsroom,Porsche Newsroom,,car,2
porsche,Porsche,,car,2
sandroparis,Sandro Paris,,fashion,2
ferrari,Ferrari,,car,2
fitjeans,FITJeans,,fashion,2
networkpr,NetworkPR,,communication,2
fab4media,Fab4Media,,communication,2
mm,Make-Up Maddeline,1,style,1
ws,Whitney Simmons,1,fitness,1
doering,Doering Agency,,communication,2
gr,Gerid Rux,1,fitness,1
nintendo,Nintendo,,fun,2
dp,Doreen Petrova,1,lifestyle,1
therabody,Therabody,,sport,2
optarise,Optarise,,beauty,2
tg,Tim Gabel,2,fitness,1
nl,Nico Lazaridis,2,work,1
pm,Prinz Marcus,2,life,1
olakala,Olakala,,fashion,2
fh,Florian Homm,2,life,1
mb,Montana Black,2,life,1
kw,Kevin Wolter,2,fitness,1
sh,Sascha Hellinger,2,life,1
ww,World Wide Wohnzimmer,2,life,1
rl,Reiner Laux,2,life,1
jt,Juergen Todenhoefer,2,life,1
ni,Nimo,2,music,1
blinkist,Blinkist,,fun,2
rb,Ron Bielecki,2,life,1
ft,Fabian Thylmann,2,life,1
mp,Maximilian Pollux,2,life,1
st,Steffen,2,life,1
eb,Emilia Bte,1,sport,1
ms,Marian Schreier,2,politic,1
zecplus,ZecPlus,,sport,2
gin,g-in GmbH,,sport,2
ldp,Lisa Del Piero,1,fitness,1
shaperepublic,shaperepublic,,food,2
t,Tara,1,fitness,1
eis,eis.de,,erotik,2
gymondo,Gymondo,,sport,2
melina,Melina Best Friseur,,beauty,2
jd,Jasmin Diem,1,fitness,1
